report_month,release_date,category,current_month_units,prior_year_month_units,month_pct_change,ytd_current_units,ytd_prior_units,ytd_pct_change,beginning_inventory,source_title,source_pdf_url,scraped_at_utc
April 2026,5/11/2026,40 < 100 HP,4428,4645,-4.7,13839,14053,-1.5,24481,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
April 2026,5/11/2026,100+ HP,1733,1884,-8.0,4614,5745,-19.7,6686,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
April 2026,5/11/2026,Total 2WD Farm Tractors,19747,22151,-10.9,53168,58555,-9.2,95117,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
April 2026,5/11/2026,4WD Farm Tractors,167,291,-42.6,622,826,-24.7,519,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
April 2026,5/11/2026,Total Farm Tractors,19914,22442,-11.3,53790,59381,-9.4,95636,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
April 2026,5/11/2026,Self-Prop Combines,428,414,3.4,928,934,-0.6,872,April 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/1306f744-3e3a-41f6-8af9-5af7a0fea4eb/April-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-06-10T10:32:45
May 2026,6/10/2026,< 40 HP,11415,15155,-24.7,46288,53908,-14.1,62258,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,40 < 100 HP,3986,4714,-15.4,17844,18768,-4.9,24867,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,100+ HP,1270,1416,-10.3,5881,7161,-17.9,6553,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,Total 2WD Farm Tractors,16671,21285,-21.7,70013,79837,-12.3,93678,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,4WD Farm Tractors,144,176,-18.2,766,1002,-23.6,513,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,Total Farm Tractors,16815,21461,-21.6,70779,80839,-12.4,94191,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
May 2026,6/10/2026,Self-Prop Combines,138,314,-56.1,1066,1248,-14.6,714,May 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/a717c93d-4798-4bfb-8daf-555dda8cd403/May-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-07-10T09:52:36
June 2026,7/10/2026,< 40 HP,11767,15084,-22.0,58156,68992,-15.7,61559,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,40 < 100 HP,4983,5539,-10.0,22824,24304,-6.1,25873,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,100+ HP,1312,1486,-11.7,7193,8647,-16.8,6658,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,Total 2WD Farm Tractors,18062,22109,-18.3,88173,101943,-13.5,94090,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,4WD Farm Tractors,124,178,-30.3,890,1180,-24.6,457,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,Total Farm Tractors,18186,22287,-18.4,89063,103123,-13.6,94547,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
June 2026,7/10/2026,Self-Prop Combines,269,259,3.9,1335,1507,-11.4,841,June 2026 Tractor and Combine Report U.S. Unit Retail Sales,https://www.aem.org/getattachment/7cbea7be-ae16-4d26-8fd9-be4c08f4b2a2/June-2026-Farm_Flash_Trade_Press_With_Chart_PreRelease-United-States.pdf,2026-08-11T07:37:33
